# Experiment with validation on train set and on a test set

# Variable: number of training epochs passed from training start
# Learning rate: 0.3
# Nodes in the hidden layer: 80
# Epochs: 100
# Train set size: 26999
# Test set size: 15001

epochs,trainerror,testerror
1,0.10644838697729546,0.1066904761904762
2,0.13093077521389682,0.1326904761904762
3,0.11878217711767103,0.12083333333333333
4,0.14530167783991998,0.14842857142857144
5,0.17156190970035928,0.17407142857142857
6,0.17467313604207563,0.17704761904761904
7,0.12848624023111968,0.12928571428571428
8,0.10563354198303641,0.10742857142857143
9,0.11311530056668766,0.11521428571428571
10,0.12496759139227379,0.12742857142857142
11,0.11967109892958998,0.12180952380952381
12,0.14259787399533316,0.14583333333333334
13,0.11833771621171155,0.12126190476190477
14,0.12237490277417683,0.12469047619047618
15,0.11089299603689025,0.11395238095238096
16,0.10741138560687433,0.10954761904761905
17,0.10526315789473684,0.10828571428571429
18,0.1364124597207304,0.1394047619047619
19,0.11255972443423831,0.11516666666666667
20,0.10267046927663988,0.10592857142857143
21,0.13304196451720435,0.13473809523809524
22,0.09159598503648284,0.09452380952380952
23,0.11122634171635987,0.11271428571428571
24,0.11415237601392644,0.11642857142857142
25,0.10526315789473684,0.1085
26,0.09963331975258342,0.10157142857142858
27,0.10800400014815363,0.11066666666666666
28,0.09000333345679469,0.09373809523809523
29,0.09685543909033668,0.09866666666666667
30,0.11859698507352125,0.12183333333333334
31,0.09604059409607764,0.09885714285714285
32,0.10907811400422238,0.11252380952380953
33,0.09448498092521945,0.09702380952380953
34,0.10311493018259936,0.10528571428571429
35,0.09955924293492352,0.10138095238095238
36,0.10681877106559502,0.10880952380952381
37,0.08681803029741843,0.09035714285714286
38,0.08892921960072596,0.09207142857142857
39,0.09600355568724768,0.098
40,0.08381791918219193,0.08735714285714286
41,0.09004037186562465,0.09340476190476191
42,0.09063298640690395,0.0935
43,0.10548538834771658,0.10752380952380952
44,0.09059594799807401,0.09288095238095238
45,0.08959591095966517,0.09333333333333334
46,0.0913737545835031,0.09526190476190476
47,0.09867032112300456,0.10273809523809524
48,0.100855587243972,0.10378571428571429
49,0.08933664209785548,0.09271428571428571
50,0.0955590947812882,0.09888095238095237
51,0.09618874773139746,0.09883333333333333
52,0.0889662580095559,0.09126190476190477
53,0.08370680395570207,0.08697619047619047
54,0.09237379162191192,0.09592857142857143
55,0.09567021000777806,0.09926190476190476
56,0.09426275047223971,0.09707142857142857
57,0.08459572576762102,0.08654761904761905
58,0.09159598503648284,0.09526190476190476
59,0.09611467091373754,0.09957142857142857
60,0.09870735953183452,0.10166666666666667
61,0.09900366680247416,0.10135714285714285
62,0.09570724841660802,0.09790476190476191
63,0.09478128819585911,0.09778571428571428
64,0.09659617022852698,0.09914285714285714
65,0.08611430052964925,0.08904761904761904
66,0.08796622097114708,0.09104761904761904
67,0.09926293566428386,0.10188095238095238
68,0.08404014963517167,0.0875
69,0.09033667913626431,0.09297619047619048
70,0.09118856253935331,0.09378571428571429
71,0.09267009889255158,0.096
72,0.0822993444201637,0.08657142857142858
73,0.10655950220378532,0.10830952380952381
74,0.08215119078484388,0.08530952380952381
75,0.08118819215526502,0.08507142857142858
76,0.08333641986740249,0.08645238095238095
77,0.092299714804252,0.09585714285714286
78,0.08989221823030483,0.09330952380952381
79,0.07622504537205081,0.07911904761904762
80,0.08666987666209859,0.08985714285714286
81,0.07963257898440683,0.08240476190476191
82,0.07926219489610727,0.08240476190476191
83,0.09181821548946258,0.09542857142857143
84,0.09237379162191192,0.09588095238095239
85,0.08104003851994518,0.0849047619047619
86,0.08596614689432942,0.08942857142857143
87,0.08770695210933738,0.09126190476190477
88,0.0889662580095559,0.092
89,0.09678136227267677,0.09876190476190476
90,0.08074373124930553,0.08416666666666667
91,0.09548501796362828,0.09911904761904762
92,0.09107744731286344,0.09359523809523809
93,0.08448461054113116,0.08885714285714286
94,0.09437386569872959,0.09747619047619048
95,0.08237342123782362,0.08680952380952381
96,0.09485536501351902,0.09726190476190476
97,0.08733656802103781,0.09161904761904761
98,0.09329975184266084,0.09633333333333334
99,0.07689173673099003,0.08092857142857143
